index;symbol;codepoint;width;height;mass_density;center_x_norm;center_y_norm;inertia_x_norm;inertia_y_norm;px_01;px_02;px_03;px_04;px_05;px_06;px_07;px_08;px_09;px_10;px_11;px_12;px_13;px_14;px_15;px_16;py_01;py_02;py_03;py_04;py_05;py_06;py_07;py_08;py_09;py_10;py_11;py_12;py_13;py_14;py_15;py_16
11;З;U+0417;41;57;0.39520653;0.58197133;0.50081886;0.10195781;0.07025249;0.05813953;0.13255814;0.16046512;0.21860465;0.21395349;0.20930233;0.20930233;0.20930233;0.22093023;0.23953488;0.26744186;0.30930233;0.48837209;0.43720930;0.31860465;0.05813953;0.13636364;0.43030303;0.26464646;0.11212121;0.12121212;0.11616162;0.16060606;0.30303030;0.26767677;0.12121212;0.11616162;0.12121212;0.12121212;0.24848485;0.45353535;0.16666667
12;И;U+0418;46;55;0.46358543;0.51408641;0.50312185;0.07660343;0.13312292;0.50000000;0.50000000;0.31241830;0.11568627;0.10849673;0.11437908;0.11372549;0.10915033;0.11633987;0.11176471;0.11111111;0.11699346;0.10980392;0.49542484;0.50000000;0.50000000;0.33333333;0.38888889;0.44444444;0.47619048;0.50000000;0.50000000;0.50000000;0.49206349;0.48412698;0.47619048;0.48412698;0.49206349;0.50000000;0.46825397;0.41269841;0.35714286
13;Й;U+0419;46;71;0.41329069;0.51383093;0.54426900;0.07384706;0.11899925;0.50000000;0.50000000;0.31241830;0.15098039;0.19542484;0.20588235;0.16274510;0.14836601;0.15555556;0.16078431;0.18300654;0.20457516;0.17058824;0.49542484;0.50000000;0.50000000;0.28571429;0.34285714;0.41904762;0.00000000;0.37142857;0.42857143;0.48571429;0.48095238;0.50000000;0.48571429;0.50000000;0.49047619;0.49523810;0.49523810;0.42857143;0.35714286
14;К;U+041A;41;55;0.41494436;0.35770541;0.50334610;0.08283143;0.08078183;0.50000000;0.50000000;0.50000000;0.04313725;0.09019608;0.13725490;0.18039216;0.18823529;0.18431373;0.17647059;0.18627451;0.18039216;0.16862745;0.12352941;0.07647059;0.00980392;0.46875000;0.46875000;0.46875000;0.46875000;0.48958333;0.46875000;0.46875000;0.48958333;0.50000000;0.50000000;0.46875000;0.50000000;0.46875000;0.46875000;0.50000000;0.46875000
15;Қ;U+049A;44;69;0.34346154;0.40681081;0.45125280;0.06879654;0.09958558;0.50000000;0.50000000;0.50000000;0.04509804;0.10588235;0.16666667;0.18039216;0.18627451;0.17647059;0.18235294;0.17647059;0.17058824;0.12352941;0.20000000;0.19607843;0.19607843;0.32608696;0.32608696;0.32608696;0.32608696;0.32608696;0.34057971;0.33913043;0.32608696;0.34782609;0.32608696;0.32608696;0.45797101;0.13043478;0.13043478;0.13043478;0.13043478
16;Л;U+041B;48;56;0.36188811;0.61639142;0.46099744;0.09595415;0.08989910;0.05882353;0.05882353;0.06601307;0.10588235;0.22352941;0.37908497;0.31176471;0.12287582;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.50000000;0.50000000;0.50000000;0.50000000;0.50000000;0.22413793;0.24137931;0.22413793;0.24137931;0.23448276;0.24137931;0.22413793;0.24137931;0.24137931;0.23448276;0.24137931;0.26206897;0.33448276;0.08620690
17;М;U+041C;56;55;0.48190045;0.50777870;0.49582160;0.07815617;0.12110395;0.50000000;0.50000000;0.11176471;0.17647059;0.17647059;0.17647059;0.17647059;0.12352941;0.14901961;0.16274510;0.16666667;0.16274510;0.16470588;0.17058824;0.50000000;0.50000000;0.38888889;0.43209877;0.47530864;0.50000000;0.48765432;0.47530864;0.48148148;0.49382716;0.48765432;0.46296296;0.48765432;0.48765432;0.48148148;0.44444444;0.40740741;0.35185185
18;Н;U+041D;44;55;0.42647059;0.50000000;0.49462069;0.06869288;0.14800108;0.50000000;0.50000000;0.50000000;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.50000000;0.50000000;0.50000000;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.50000000;0.28333333;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000
19;Ң;U+04A2;50;68;0.33865489;0.49742561;0.45235707;0.06271041;0.12481010;0.39843750;0.39843750;0.39843750;0.04687500;0.04687500;0.04687500;0.04687500;0.04687500;0.04687500;0.04687500;0.04687500;0.39843750;0.39843750;0.50000000;0.14843750;0.14843750;0.17500000;0.17500000;0.17500000;0.17500000;0.17500000;0.50000000;0.50000000;0.17500000;0.17500000;0.17500000;0.17500000;0.25000000;0.18500000;0.08750000;0.08750000;0.08750000
20;О;U+041E;52;57;0.36988994;0.49736586;0.49617837;0.09484386;0.10590316;0.13414634;0.38292683;0.48211382;0.25365854;0.17642276;0.15040650;0.13658537;0.14634146;0.14634146;0.13658537;0.15040650;0.17073171;0.24146341;0.45609756;0.38292683;0.17073171;0.21875000;0.45208333;0.28437500;0.25000000;0.23645833;0.22916667;0.24687500;0.23437500;0.23437500;0.24687500;0.22916667;0.24791667;0.25625000;0.31666667;0.43541667;0.12500000
21;Ө;U+04E8;52;57;0.44693396;0.49989708;0.49852852;0.07721704;0.09449522;0.13414634;0.38130081;0.48211382;0.32195122;0.24390244;0.22764228;0.20000000;0.21951220;0.21951220;0.20000000;0.22764228;0.24390244;0.32195122;0.47560976;0.38292683;0.17073171;0.08333333;0.29027778;0.21111111;0.16666667;0.16666667;0.15277778;0.16458333;0.50000000;0.50000000;0.16458333;0.16319444;0.16666667;0.17083333;0.21111111;0.29027778;0.08333333
22;П;U+041F;43;55;0.43438914;0.50000000;0.42187500;0.09695853;0.14719848;0.50000000;0.50000000;0.50000000;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.50000000;0.50000000;0.50000000;0.50000000;0.50000000;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718;0.17948718
23;Р;U+0420;37;55;0.43909685;0.38079330;0.39361299;0.07117416;0.09984157;0.50000000;0.50000000;0.50000000;0.34705882;0.11764706;0.11764706;0.11764706;0.11764706;0.11764706;0.12745098;0.12418301;0.15620915;0.23137255;0.22091503;0.17908497;0.09803922;0.35000000;0.47222222;0.27777778;0.25000000;0.23333333;0.23333333;0.23333333;0.27777778;0.45555556;0.33333333;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667;0.11666667
24;С;U+0421;43;57;0.31543299;0.39445431;0.49510382;0.11795332;0.07947924;0.13414634;0.33739837;0.44146341;0.39756098;0.23008130;0.19512195;0.16829268;0.15528455;0.14634146;0.14634146;0.14634146;0.14634146;0.14390244;0.14715447;0.15853659;0.03658537;0.25000000;0.47444444;0.22333333;0.14333333;0.13111111;0.12777778;0.13000000;0.13333333;0.13333333;0.13000000;0.13333333;0.13333333;0.15000000;0.22444444;0.46555556;0.16666667
25;Т;U+0422;44;55;0.29313725;0.50000000;0.35685619;0.09947758;0.03460441;0.04901961;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.32352941;0.50000000;0.50000000;0.32352941;0.05882353;0.05882353;0.05882353;0.05882353;0.05882353;0.04901961;0.50000000;0.50000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000;0.10000000
26;У;U+0423;48;56;0.31075175;0.46073333;0.47952345;0.08570642;0.06188812;0.04000000;0.29466667;0.38400000;0.43200000;0.44000000;0.44666667;0.46400000;0.43600000;0.26400000;0.30000000;0.32000000;0.32000000;0.32000000;0.28933333;0.15466667;0.04000000;0.33333333;0.37142857;0.35714286;0.35238095;0.36190476;0.33333333;0.34761905;0.35238095;0.33809524;0.33333333;0.26190476;0.19047619;0.19047619;0.32857143;0.43809524;0.16666667
27;Ұ;U+04B0;45;55;0.33668101;0.49545455;0.46522727;0.07307281;0.04926783;0.01562500;0.09895833;0.20833333;0.31250000;0.31250000;0.31250000;0.29687500;0.44791667;0.44791667;0.31250000;0.31250000;0.30208333;0.31250000;0.16666667;0.09895833;0.01562500;0.28571429;0.26190476;0.26190476;0.26785714;0.26785714;0.26190476;0.25000000;0.26190476;0.22023810;0.16071429;0.48809524;0.50000000;0.12500000;0.12500000;0.12500000;0.12500000
28;Ү;U+04AE;45;55;0.27307508;0.49684764;0.41208406;0.07411574;0.04856891;0.01562500;0.09895833;0.17708333;0.21875000;0.21875000;0.20312500;0.21875000;0.44791667;0.44791667;0.20312500;0.21354167;0.20312500;0.21875000;0.16666667;0.08854167;0.01562500;0.50000000;0.45833333;0.44791667;0.46875000;0.45833333;0.45833333;0.43750000;0.44791667;0.35416667;0.25000000;0.21875000;0.21875000;0.21875000;0.21875000;0.21875000;0.21875000
