segment;expected;rank;hypothesis;codepoint;distance;similarity
5;Е;33;Т;U+0422;1.30358982;0.43410506
5;Е;34;Ұ;U+04B0;1.30867634;0.43314863
5;Е;35;Л;U+041B;1.31611540;0.43175742
5;Е;36;Й;U+0419;1.37421720;0.42119146
5;Е;37;Ф;U+0424;1.38820706;0.41872416
5;Е;38;А;U+0410;1.40709494;0.41543854
5;Е;39;М;U+041C;1.41002717;0.41493308
5;Е;40;И;U+0418;1.45205020;0.40782199
5;Е;41;Ж;U+0416;1.53407096;0.39462194
5;Е;42;Х;U+0425;1.53704506;0.39415934
6;Н;1;Н;U+041D;0.10739100;0.90302341
6;Н;2;Һ;U+04BA;0.55418886;0.64342245
6;Н;3;П;U+041F;0.55585005;0.64273546
6;Н;4;Ы;U+042B;0.58974008;0.62903365
6;Н;5;Ч;U+0427;0.69952689;0.58839905
6;Н;6;Ь;U+042C;0.83582541;0.54471411
6;Н;7;О;U+041E;0.83922211;0.54370812
6;Н;8;Қ;U+049A;0.86398702;0.53648442
6;Н;9;Ц;U+0426;0.89166187;0.52863570
6;Н;10;Ө;U+04E8;0.89562763;0.52752977
6;Н;11;Р;U+0420;0.91384686;0.52250784
6;Н;12;В;U+0412;0.91700180;0.52164792
6;Н;13;Ң;U+04A2;0.93167323;0.51768590
6;Н;14;Ә;U+04D8;0.96616312;0.50860480
6;Н;15;Б;U+0411;0.99999383;0.50000154
6;Н;16;Я;U+042F;1.00368873;0.49907952
6;Н;17;Щ;U+0429;1.00997416;0.49751883
6;Н;18;Ю;U+042E;1.01003490;0.49750380
6;Н;19;Ш;U+0428;1.05315125;0.48705618
6;Н;20;Э;U+042D;1.06722529;0.48374021
6;Н;21;Л;U+041B;1.06970904;0.48315970
6;Н;22;Й;U+0419;1.08139503;0.48044700
6;Н;23;Е;U+0415;1.08668643;0.47922869
6;Н;24;Д;U+0414;1.09848518;0.47653422
6;Н;25;И;U+0418;1.10102942;0.47595716
6;Н;26;С;U+0421;1.10432144;0.47521257
6;Н;27;Г;U+0413;1.12994947;0.46949471
6;Н;28;З;U+0417;1.18767069;0.45710719
6;Н;29;Ф;U+0424;1.18915992;0.45679623
6;Н;30;Ё;U+0401;1.18931482;0.45676391
6;Н;31;М;U+041C;1.23695243;0.44703678
6;Н;32;Ъ;U+042A;1.33683952;0.42792840
6;Н;33;К;U+041A;1.41897730;0.41339784
6;Н;34;У;U+0423;1.45324421;0.40762350
6;Н;35;Ү;U+04AE;1.46953204;0.40493502
6;Н;36;Ұ;U+04B0;1.47018212;0.40482845
6;Н;37;Ғ;U+0492;1.47965417;0.40328204
6;Н;38;Т;U+0422;1.49621974;0.40060576
6;Н;39;А;U+0410;1.54413830;0.39306039
6;Н;40;І;U+0406;1.64808404;0.37763152
6;Н;41;Ж;U+0416;1.70480981;0.36971176
6;Н;42;Х;U+0425;1.85850683;0.34983299
7;І;1;І;U+0406;0.04580436;0.95620179
7;І;2;Т;U+0422;0.93357962;0.51717550
7;І;3;Ұ;U+04B0;0.96943476;0.50775990
7;І;4;У;U+0423;1.02612700;0.49355248
7;І;5;Ъ;U+042A;1.02891020;0.49287544
7;І;6;Ү;U+04AE;1.03032878;0.49253107
7;І;7;А;U+0410;1.04241603;0.48961621
7;І;8;З;U+0417;1.08515811;0.47957994
7;І;9;Э;U+042D;1.11260083;0.47335019
7;І;10;С;U+0421;1.11711544;0.47234080
7;І;11;Б;U+0411;1.20541218;0.45342998
7;І;12;Е;U+0415;1.22342285;0.44975700
7;І;13;Д;U+0414;1.23155584;0.44811785
7;І;14;В;U+0412;1.23862810;0.44670216
7;І;15;Ғ;U+0492;1.24385445;0.44566171
7;І;16;Ә;U+04D8;1.24780051;0.44487934
7;І;17;Л;U+041B;1.25036552;0.44437226
7;І;18;Х;U+0425;1.25662485;0.44313967
7;І;19;О;U+041E;1.25877708;0.44271744
